variable,dtype,n_obs,n_missing,pct_missing,n_unique,sample_values,min,max
ola,int64,21019,0,0.0,1,1,1.0,1.0
consecutivo,int64,21019,0,0.0,4578,121116 | 121117 | 121118 | 121119 | 121120,121116.0,226290.0
orden,int64,21019,0,0.0,19,1 | 2 | 3 | 4 | 5,1.0,19.0
llave_id_lb,int64,21019,0,0.0,21019,12111601 | 12111602 | 12111603 | 12111604 | 12111701,12111601.0,22629003.0
nac_dia,object,21019,0,0.0,32,21 | 11 | 4 | 2 | 26,,
nac_mes,object,21019,0,0.0,13,1 | 4 | 7 | 10 | 8,,
nac_ano,int64,21019,0,0.0,103,1953 | 1960 | 1994 | 2002 | 1977,1903.0,2010.0
edad,int64,21019,0,0.0,102,57 | 49 | 15 | 7 | 32,0.0,106.0
edad_meses,int64,21019,0,0.0,12,2 | 11 | 8 | 10 | 1,0.0,11.0
sexo,object,21019,0,0.0,2,Hombre | Mujer,,
seguimiento,object,21019,0,0.0,2,Si | No,,
parentesco,object,21019,0,0.0,18,Jefe de hogar | C�nyuge o compa�era(o) | Hijo(a) | Hijastro(a) | Nieto(a),,
es_bisnieto,object,21019,21000,0.9991,1,S�,,
orden_pariente,int64,21019,0,0.0,18,3 | 2 | 1 | 5 | 4,1.0,19.0
pariente,object,21019,0,0.0,17,Hijo(a) | Padre o madre | C�nyuge o compa�era(o) | Abuelo(a) | Hermano(a),,
padre_vive,object,21019,0,0.0,4,No | Ya falleci� | Si | 9,,
orden_padre,float64,21019,13041,0.6204,13,1.0 | 4.0 | 2.0 | 6.0 | 3.0,1.0,15.0
ano_nac_p,object,21019,7979,0.3796,120,1929 | No sabe | 1952 | 1930 | 1953,,
educ_padre,object,21019,7986,0.3799,11,Ninguno | No sabe | Algunos a�os de primaria | Toda la primaria | Algunos a�os de secundaria,,
trabajo_padre,object,21019,7986,0.3799,11,Jornalero o pe�n | Trabajador de su propia finca o de una finca que ten�a o tiene en arriendo o aparcer�a | Trabajador por cuenta propia | Patr�n o empleador | No sabe,,
enfermedad_p,object,21019,7986,0.3799,4,No informa | Si | No | No sabe,,
presion_p,object,21019,16824,0.8004,2,Si | No,,
diabetes_p,object,21019,16824,0.8004,2,No | Si,,
artritis_p,object,21019,16824,0.8004,2,No | Si,,
corazon_p,object,21019,16823,0.8004,2,No | Si,,
coronaria_p,object,21019,16824,0.8004,2,Si | No,,
bronquitis_p,object,21019,16824,0.8004,2,No | Si,,
asma_p,object,21019,16824,0.8004,2,No | Si,,
espalda_p,object,21019,16824,0.8004,2,No | No sabe,,
cerebral_p,object,21019,16824,0.8004,2,No | No informa,,
depresion_p,object,21019,16824,0.8004,2,No | Si,,
gastritis_p,object,21019,16824,0.8004,2,No | Si,,
rinon_p,object,21019,16824,0.8004,2,No | Si,,
cancer_p,object,21019,16824,0.8004,2,No | Si,,
vih_p,object,21019,16824,0.8004,2,No | Si,,
madre_vive,object,21019,0,0.0,4,Ya falleci� | Si | No | 9,,
orden_madre,float64,21019,10548,0.5018,16,2.0 | 3.0 | 1.0 | 4.0 | 5.0,1.0,17.0
ano_nac_m,object,21019,10471,0.4982,117,No sabe | 1953 | 1931 | 1940 | 1982,,
educ_madre,object,21019,10477,0.4985,11,No sabe | Algunos a�os de primaria | Ninguno | Toda la secundaria | Algunos a�os de secundaria,,
trabajo_madre,object,21019,10477,0.4985,11,No sabe | Trabajador por cuenta propia | Nunca ha trabajado o nunca trabaj� | Empleado dom�stico | Obrero o empleado particular,,
enfermedad_m,object,21019,10477,0.4985,4,No informa | Si | No | No sabe,,
presion_m,object,21019,16047,0.7635,2,No | Si,,
diabetes_m,object,21019,16047,0.7635,2,No | Si,,
artritis_m,object,21019,16047,0.7635,2,Si | No,,
corazon_m,object,21019,16047,0.7635,2,No | Si,,
coronaria_m,object,21019,16047,0.7635,2,No | Si,,
bronquitis_m,object,21019,16047,0.7635,2,No | Si,,
asma_m,object,21019,16047,0.7635,2,No | Si,,
espalda_m,object,21019,16047,0.7635,2,No | No sabe,,
cerebral_m,object,21019,16047,0.7635,2,No | No informa,,
depresion_m,object,21019,16047,0.7635,2,No | Si,,
gastritis_m,object,21019,16047,0.7635,2,Si | No,,
rinon_m,object,21019,16047,0.7635,2,No | Si,,
cancer_m,object,21019,16047,0.7635,2,No | Si,,
